id,db_name,owner_email,manager_email,classification
73a23e3f-0fbd-403b-b942-b3670c381620,usersdb,john.doe@company.com,lucas.sec@company.com,high
aefe1528-cb75-4a5a-93a9-9e8cbc3b55ed,usersdb,john.doe@company.com,lucas.sec@company.com,high
77f4549a-63e5-40e2-9577-036fec993e4b,usersdb,john.doe@company.com,lucas.sec@company.com,high
5cd36dbf-0c7a-46b6-898f-0b807205ae19,usersdb,john.doe@company.com,lucas.sec@company.com,high
8a550320-abf1-46ee-8ee1-a92ed4de2529,usersdb,john.doe@company.com,lucas.sec@company.com,high
2afdd17a-4afc-4bc1-821d-e0f9a8797bd7,usersdb,john.doe@company.com,lucas.sec@company.com,high
f1992820-aa9e-4e05-a604-66961ebf155a,usersdb,john.doe@company.com,lucas.sec@company.com,high
13bb2611-6839-4462-bc7d-29d8b8923836,marketingdb,jane.smith@company.com,anna@company.com,medium
a836da46-ba79-4065-9305-27a9d8708059,marketingdb,jane.smith@company.com,anna@company.com,medium
cbb39b79-17f6-4d27-9855-ee38ba5e9abc,marketingdb,jane.smith@company.com,anna@company.com,medium
3ff4ee0b-2ce4-427e-92bf-65ca2359d240,marketingdb,jane.smith@company.com,anna@company.com,medium
6febce4e-acd6-41cf-a9da-56a774cc7abe,marketingdb,jane.smith@company.com,anna@company.com,medium
4492d1fc-d362-4dcd-8311-4ec2fe6072ef,marketingdb,jane.smith@company.com,anna@company.com,medium
02e876f2-972c-4f82-8cb5-868e9af96033,marketingdb,jane.smith@company.com,anna@company.com,medium
8290b15e-43b9-4b1f-b8c4-67509524dc67,marketingdb,jane.smith@company.com,anna@company.com,medium
d332fe0c-254d-4121-a267-10f01a76b1a1,marketingdb,jane.smith@company.com,anna@company.com,medium
106b4a02-0942-47aa-9783-61ee7133a61c,marketingdb,jane.smith@company.com,anna@company.com,medium
cd315591-ec01-488f-9838-27473a53e956,marketingdb,jane.smith@company.com,anna@company.com,medium
20fe4966-ca7e-4749-920e-a78ccc91caae,marketingdb,jane.smith@company.com,anna@company.com,medium
926e8c15-f3c0-4709-a90a-efd85e94cb44,marketingdb,jane.smith@company.com,anna@company.com,medium
16194e46-373e-45cf-bce6-2b93d2eca70d,marketingdb,jane.smith@company.com,anna@company.com,medium
f3c90de4-548f-416d-a190-3d6583092dd1,marketingdb,jane.smith@company.com,anna@company.com,medium
85bb788d-0bc2-48b4-a5ea-8f5e54ed8321,marketingdb,jane.smith@company.com,anna@company.com,medium
184355a9-10c7-400b-a2dc-3b5706c749d3,marketingdb,jane.smith@company.com,anna@company.com,medium
3e54aa46-0393-4ec3-bf99-087351208b57,marketingdb,jane.smith@company.com,anna@company.com,medium
30385802-4994-4eb6-ba12-1a4b77ffe51d,marketingdb,jane.smith@company.com,anna@company.com,medium
4d8bf2d9-b9d8-4854-8b1a-6f148022c3cb,marketingdb,jane.smith@company.com,anna@company.com,medium
bf586dbe-9d09-4d6e-981d-ef1d4573f3eb,marketingdb,jane.smith@company.com,anna@company.com,medium
eed91cb3-b389-41ce-8589-3dad9c97c760,marketingdb,jane.smith@company.com,anna@company.com,medium
5707eff4-4b49-443b-b255-a1a64afc6116,marketingdb,jane.smith@company.com,anna@company.com,medium
95330702-bf93-46e3-9803-82915a261740,marketingdb,jane.smith@company.com,anna@company.com,medium
e81ddef6-0581-4aed-bd5b-fe05237af905,marketingdb,jane.smith@company.com,anna@company.com,medium
a8eecd84-b482-4654-9de5-bf3dc30a02dd,marketingdb,jane.smith@company.com,anna@company.com,medium
be14800f-dbbf-4f3e-a10a-3f877fed02a6,marketingdb,jane.smith@company.com,anna@company.com,medium
e701f893-af9a-4289-b512-5871b1ce85ef,marketingdb,jane.smith@company.com,anna@company.com,medium
4144168e-07c0-479e-bbc0-f458ba27c2df,marketingdb,jane.smith@company.com,anna@company.com,medium
42056d62-d54d-4ba8-b6d4-9773e3cb0290,marketingdb,jane.smith@company.com,anna@company.com,medium
9bbbb103-75e2-47d9-adc6-316fa3ada37a,marketingdb,jane.smith@company.com,anna@company.com,medium
fd310163-c1e5-4839-b7d2-ae1ed98e7a27,marketingdb,jane.smith@company.com,anna@company.com,medium
3868cb88-3c09-4621-a965-9458f545468c,marketingdb,jane.smith@company.com,anna@company.com,medium
c6227eff-f505-47f4-9a18-92dd932903b3,marketingdb,jane.smith@company.com,anna@company.com,medium
97def42b-00da-4525-bee4-20dc26e1b3c1,marketingdb,jane.smith@company.com,anna@company.com,medium
d6921fec-abfb-4afa-81ac-97b1e5a66eee,marketingdb,jane.smith@company.com,anna@company.com,medium
c71f9345-edec-4928-a9a8-7232466bde5c,marketingdb,jane.smith@company.com,anna@company.com,medium
84231fc4-7c65-4a45-a9e4-be240d324309,marketingdb,jane.smith@company.com,anna@company.com,medium
6a1e5633-be6c-4e1b-aa8a-cae826da7ee8,marketingdb,jane.smith@company.com,anna@company.com,medium
5171ed47-6b70-4681-b12a-fe1c0afcb725,marketingdb,jane.smith@company.com,anna@company.com,medium
e067d0ca-ff3c-4981-83b7-b5f362b5c141,marketingdb,jane.smith@company.com,anna@company.com,medium
a7377e21-7ee7-4e5b-8e5e-15a1af5c0f0f,marketingdb,jane.smith@company.com,anna@company.com,medium
fc9bfd97-450a-41a0-8838-099f3319df34,marketingdb,jane.smith@company.com,anna@company.com,medium
d271434b-4f86-435a-84b5-402ffca8b7ec,marketingdb,jane.smith@company.com,anna@company.com,medium
6f1c7a44-0708-4318-a8ec-f8935e73952d,marketingdb,jane.smith@company.com,anna@company.com,medium
53d0dfaa-42a7-4592-a964-915ed918aab1,marketingdb,jane.smith@company.com,anna@company.com,medium
113127a5-5fd1-4cad-a6af-839371e97092,marketingdb,jane.smith@company.com,anna@company.com,medium
7a1799ec-4472-4c34-b878-806af2338c07,marketingdb,jane.smith@company.com,anna@company.com,medium
e254a00b-52f0-4773-98e7-5fd40e98fb38,marketingdb,jane.smith@company.com,anna@company.com,medium
2deba6f9-ace2-44d2-8ab0-38e7e67bb4a6,marketingdb,jane.smith@company.com,anna@company.com,medium
